wkt_geom	OBJECTID	OBJTYPE	NAVN	KOMM	OPPDATERIN	Shape_Leng	Shape_Area	AREA	PERIMETER	ANSLAG_FRI
POLYGON((6.704714 62.220911,6.784125 62.184451,6.753734 62.132936,6.668185 62.116463,6.706518 62.087221,6.657571 62.071853,6.620823 62.051897,6.536273 62.055525,6.494644 62.037811,6.471839 62.045737,6.419231 62.063990,6.417939 62.065297,6.395108 62.088370,6.419879 62.108260,6.384192 62.114174,6.338968 62.099250,6.327834 62.112488,6.295662 62.105004,6.251188 62.112797,6.224090 62.117535,6.175152 62.165768,6.075463 62.168133,6.059867 62.175221,5.979968 62.211452,5.922286 62.237524,5.967032 62.275162,6.166653 62.366690,6.328805 62.389517,6.363399 62.394358,6.417459 62.328460,6.452520 62.333118,6.472927 62.335824,6.488490 62.301536,6.555391 62.302521,6.590860 62.258146,6.625428 62.260277,6.704714 62.220911))	11	Kommune	Ørsta	1520		140433.537562	955171217.659	955171217.658997	140433.537562	501110000
POLYGON((10.883303 62.022973,10.910390 61.995335,10.912917 61.992754,10.931444 61.973813,10.923010 61.965567,10.899209 61.942270,10.891592 61.976582,10.890435 61.976133,10.876496 61.970718,10.843148 61.957751,10.772350 61.963680,10.770247 61.963855,10.584675 61.913232,10.546689 61.963934,10.448686 61.963947,10.348345 61.952985,10.305059 61.913289,10.156076 61.947762,10.121769 61.971719,10.165704 62.041662,10.251905 62.105528,10.279447 62.125867,10.330226 62.163282,10.380875 62.200492,10.381744 62.201130,10.334801 62.249334,10.334435 62.249710,10.343619 62.279810,10.381778 62.266330,10.424897 62.251070,10.455237 62.265895,10.542469 62.220818,10.612244 62.221010,10.625951 62.221044,10.642294 62.221082,10.648044 62.221095,10.659185 62.220752,10.660822 62.220702,10.717774 62.218933,10.720779 62.208380,10.727348 62.201130,10.724361 62.196955,10.707251 62.173024,10.727387 62.139532,10.746189 62.108185,10.883303 62.022973))	12	Kommune	Alvdal	438		152465.335393	946923595.27	946923595.270142	152465.335393	136386000
POLYGON((5.258134 61.489514,5.428748 61.482573,5.439825 61.461295,5.513811 61.444608,5.524310 61.439760,5.552166 61.426883,5.422501 61.417096,5.421352 61.409150,5.418925 61.392354,5.417273 61.380919,5.190871 61.349323,5.180325 61.323769,4.964784 61.295324,4.849254 61.260794,4.821283 61.252408,4.516069 61.219530,4.102970 61.229952,4.115482 61.351442,4.129898 61.490832,4.546437 61.480295,4.610593 61.461004,4.984983 61.456776,5.019831 61.456330,5.258134 61.489514))	13	Kommune	Askvoll	1428		196461.346064	1602184692.77	1602184692.76678	196461.346064	171919000
POLYGON((6.640396 61.272692,6.618032 61.258472,6.630233 61.251263,6.637979 61.246682,6.700463 61.257021,6.596140 61.222551,6.580283 61.217297,6.580283 61.217296,6.585230 61.200094,6.588773 61.187764,6.568236 61.125869,6.484035 61.098729,6.369916 61.089729,6.193807 61.138379,6.132048 61.135129,6.130951 61.162647,6.130804 61.166306,6.177120 61.197022,6.199569 61.211884,6.313817 61.240689,6.388312 61.238719,6.408857 61.253102,6.342416 61.276579,6.335706 61.297367,6.408135 61.320900,6.408267 61.321411,6.412069 61.336130,6.413046 61.339912,6.415686 61.341487,6.513987 61.399990,6.527393 61.407947,6.561720 61.428296,6.618762 61.424513,6.621638 61.422177,6.626786 61.417998,6.637225 61.409516,6.601329 61.390336,6.621672 61.365361,6.595505 61.349865,6.606681 61.290315,6.613545 61.286729,6.625811 61.280319,6.640396 61.272692))	14	Kommune	Balestrand	1418		122906.78522	531050724.287	531050724.287384	122906.78522	87621000
POLYGON((4.821283 61.252408,4.848358 61.247858,4.917201 61.236257,4.932733 61.218566,5.008755 61.210042,5.011329 61.195728,5.014427 61.178476,5.017096 61.177334,5.155673 61.117848,4.991232 61.069467,4.933543 61.031781,4.786483 61.003168,4.763633 60.988161,4.689142 60.939115,4.610653 60.887235,4.579308 60.885452,4.184772 60.833352,4.150750 60.896328,4.093012 61.002555,4.087526 61.071109,4.095544 61.157625,4.102970 61.229952,4.516069 61.219530,4.821283 61.252408))	15	Kommune	Solund	1412		174144.240432	1742317451.16	1742317451.16467	174144.240432	61269000
POLYGON((6.877225 61.156669,6.710147 61.166519,6.654425 61.190714,6.605304 61.188510,6.588773 61.187764,6.585230 61.200094,6.580283 61.217296,6.580283 61.217297,6.596140 61.222551,6.700463 61.257021,6.637979 61.246682,6.630233 61.251263,6.618032 61.258472,6.640396 61.272692,6.667306 61.268869,6.716608 61.261849,6.715846 61.287421,6.715405 61.302161,6.753561 61.313511,6.756846 61.314487,6.793398 61.311316,6.801288 61.295303,6.885669 61.304864,6.901713 61.269804,6.929157 61.271660,6.947446 61.253212,6.915280 61.243093,6.922498 61.190360,6.918925 61.187705,6.908203 61.179731,6.898058 61.172183,6.877225 61.156669))	16	Kommune	Leikanger	1419		75195.4068096	222925597.562	222925597.562134	75195.40681	116781000
POLYGON((4.610653 60.887235,4.686905 60.858220,4.686237 60.838597,4.791179 60.763529,4.776697 60.733942,4.658734 60.740575,4.266136 60.687822,4.246144 60.723720,4.195766 60.813775,4.184772 60.833352,4.579308 60.885452,4.610653 60.887235))	17	Kommune	Fedje	1265		90727.4249719	469427466.267	469427466.267273	90727.424972	49052000
POLYGON((8.657226 60.939161,8.718343 60.924204,8.814489 60.900588,8.837021 60.899403,8.889453 60.896631,8.918990 60.863378,8.827517 60.871268,8.741153 60.786702,8.723072 60.768936,8.718582 60.764520,8.645828 60.767925,8.545586 60.803769,8.467593 60.784289,8.465360 60.814847,8.412507 60.834712,8.394673 60.833788,8.339092 60.834902,8.334523 60.867085,8.040867 60.893214,8.151215 60.980095,8.153940 60.982233,8.223109 60.968089,8.220872 61.004293,8.257330 61.008543,8.282660 61.033331,8.214429 61.053910,8.251698 61.073944,8.309201 61.091720,8.366333 61.048263,8.607959 60.982283,8.611172 60.974851,8.621083 60.951905,8.657226 60.939161))	18	Kommune	Hemsedal	618		145060.491033	739302728.497	739302728.496521	145060.491033	125552000
POLYGON((4.929695 60.626631,4.958160 60.588334,4.995005 60.578220,4.997601 60.551798,5.237231 60.495381,5.280265 60.409078,5.276765 60.408213,5.170129 60.381770,5.117780 60.405949,5.100257 60.414029,5.086611 60.413286,5.057279 60.411683,4.997052 60.475691,4.921628 60.549730,4.903649 60.611972,4.897878 60.631893,4.929695 60.626631))	19	Kommune	Askøy	1247		77162.2945199	226213720.652	226213720.651642	77162.29452	1217859000
POLYGON((5.177265 60.583346,5.267507 60.542120,5.287635 60.532902,5.273631 60.522488,5.237231 60.495381,4.997601 60.551798,4.995005 60.578220,4.958160 60.588334,4.929695 60.626631,5.056043 60.619591,5.072210 60.603887,5.140897 60.590470,5.163593 60.586026,5.177265 60.583346))	20	Kommune	Meland	1256		52948.659668	128792475.687	128792475.686539	52948.659668	339448000
